id	isv	addition	partOfSpeech
4647	alkohol		m.
23277	alkoholik		m.anim.
24274	alkoholizm		m.sg.
4648	alkohoľny		adj.
24253	alkov		m.
24279	allegro		n.
24254	almanah		m.
24281	almaz		m.
24282	alo		intj.
24283	aloe		n.indecl.
37889	alofon		m.
15759	alpijsky		adj.
5757	alpinist		m.anim.
24256	alpinizm		m.sg.
59	Alpy		f.pl.
23443	alt		m.
32998	alt		m.
37537	altajsky		adj.
35767	altana, altanka		f.
24259	alternativa		f.
17119	alternativny		adj.
24261	altruist		m.anim.
24262	altruističny		adj.
24263	altruizm		m.sg.
22608	aluminij		m.sg.
24265	aluminijevy		adj.
35536	aluzija		f.
24269	alveolarny		adj.
5919	Alžirija		f.sg.
35594	amater		m.anim.
37538	amaterka		f.
37539	Amazonija		f.
37096	Amazonka		f.sg.
36059	ambar		m.
127	ambasada		f.
24290	ambicija		f.
32530	ambiciozny		adj.
36759	ambivalentnosť		f.
36758	ambivalentny		adj.
24291	ambrazura		f.
24294	ameba		f.
131	Amerika		f.sg.
136	Amerikanėc		m.anim.
6400	Amerikanka		f.
6404	Amerikańska Samoa		f.sg.
12580	Amerikańske Děvičje Ostrovy		m.pl.
52	amerikańsky		adj.
24296	ametist		m.
23198	amfetamin		m.sg.
23197	amfiteatr		m.
19632	amin		intj.
37842	aminokyslinovy		adj.
24298	amnestija		f.sg.
24299	amnestovati		v.tr. ipf./pf.
36331	amnezija		f.
24301	amonij		m.sg.
24302	amonijak		m.sg.
24304	amoraľny		adj.
24305	amortizacija		f.sg.
37540	amortizacijny		adj.
3835	amortizator		m.
24307	amortizovati		v.tr. ipf./pf.
37541	amplitudny		adj.
34096	amputacija		f.
34095	amputovati		v.tr. ipf./pf.
36760	amulet		m.
32325	amunicija		f.sg.
37053	Amur		m.sg.
35336	anahroničny		adj.
35337	anahronizm		m.
24309	analfabet		m.anim.
24310	analfabetizm		m.sg.
14440	analitično		adv.
4172	analitičny		adj.
904	analitik		m.anim.
4171	analiza		f.
3969	analizovati		v.tr. ipf.
16411	anaľny		adj.
23209	analogičny		adj.
23208	analogija		f.
32110	anamneza		f.
24311	ananas		m.
37542	ananasovy		adj.
5057	anarhija		f.sg.
5058	anarhist		m.anim.
23491	anarhizm		m.sg.
23494	anatomičny		adj.
23493	anatomija		f.sg.
24312	Andora		f.sg.
37543	androginny		adj.
5718	anekdota		f.
36190	aneksija		f.
36191	aneksovati		v.tr. ipf./pf.
20331	anemičny		adj.
20332	anemija		f.sg.
19633	anestezija		f.sg.
36752	anestezija		f.
37544	angaŕsky		adj.
229	angel		m.anim.
24314	anglicizm		m.
20333	Angličan, Angličanin		m.anim.
35052	Anglija		f.sg.
19634	anglijskojęzyčny		adj.
23464	anglijsky rožėk		m.
2850	anglijsky		adj.
37545	anglist		m.anim.
19635	anglosaksońsky		adj.
256	Angola		f.sg.
36537	animacija		f.
37546	animacijny		adj.
36700	animovany film		m.
36798	anis		m.sg.
3797	anketa		f.
32722	anketa		f.
35755	anomalija		f.
3949	anonimny		adj.
38063	ansambl		m.
34753	antagonist		m.anim.
35738	antagonizm		m.
4898	Antarktida		f.sg.
32494	antena		f.
16368	anti-		prefix
36753	antibiotik		m.
16367	antičnosť		f.
16369	antičny		adj.
38025	antidemokratičny		adj.
37547	antifašist		m.anim.
37548	antifašistsky		adj.
17120	antihrist		m.anim.
37549	antikorupcijny		adj.
37550	antikrizovy		adj.
35717	antikvariat		m.
37551	antikvarny		adj.
32493	antilopa		f.
22629	antimon		m.sg.
37552	antioksidant		m.
37553	antioksidantny		adj.
35432	antipatija		f.
37554	antiradar		m.
37555	antireklama		f.
37556	antireligiozny		adj.
22808	antisemitizm		m.sg.
37557	antiseptičny		adj.
37586	antisovětsky		adj.
36754	antitělo		n.
37558	antiterorističny		adj.
35825	antologija		f.
37425	antropolog		m.anim.
37426	antropologičny		adj.
23495	antropologija		f.sg.
4952	anulacija		f.
37	anulovati		v.tr. ipf./pf.
16250	anus		m.
19636	aorist		m.
6263	aparat		m.
37253	apartament		m.
39	apelacija		f.
15689	apelacijny sųd		m.
15690	apelacijny		adj.
15692	apelant		m.anim.
60	apelovati		v.intr. ipf.
6422	apendektomija		f.sg.
15764	apendiks		m.
37559	apenińsky		adj.
150	apetit		m.sg.
36574	aplikacija		f.
15240	aplodovańje		n.sg.
5624	aplodovati		v.tr. ipf.
36316	apokalipsa		f.
36315	apokaliptičny		adj.
37437	apologija		f.
32728	aposteriorny		adj.
6167	apostol		m.anim.
32556	apostrof		m.
4026	aprilj		m.
32727	apriorny		adj.
37560	aptečny		adj.
37021	apteka		f.
37585	aptekaŕ		m.anim.
37587	aptekaŕsky		adj.
35575	Arab		m.anim.
37561	arabizacija		f.
35576	Arabka		f.
2166	arabsky		adj.
37562	aragońsky		adj.
37563	aramejsky		adj.
37564	aranžer		m.anim.
36413	aranževati		v.tr. ipf./pf.
36414	aranžman		m.
37565	arba		f.
19637	arbiter		m.anim.
36761	arbitraž		m.
38	arcivojevoda		m.anim.
36963	arena		f.
5789	arešt		m.sg.
122	areštovati		v.tr. ipf.
22388	Argentina		f.sg.
22389	argentińsky		adj.
22614	argon		m.sg.
19638	argument		m.
19639	argumentacija		f.
19640	argumentovati		v.intr. ipf.
37567	arhaičnosť		f.
4382	arhaičny		adj.
37566	arhaizacija		f.
